Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
11/12/08                 0.710          0.710          0.700          0.700               0.000
17/12/08                 0.710          0.710          0.710          0.710               0.000
18/12/08                 0.750          0.750          0.750          0.750               0.000
30/12/08                 0.750          0.750          0.750          0.750               0.000
05/01/09                 0.750          0.880          0.750          0.880               0.000
06/01/09                 0.950          0.950          0.900          0.900               0.000
07/01/09                 0.930          0.930          0.930          0.930               0.000
08/01/09                 0.950          1.000          0.950          1.000               0.000
09/01/09                 1.000          1.000          0.900          0.900               0.000
12/01/09                 0.940          0.940          0.930          0.940               0.000
14/01/09                 0.930          0.940          0.930          0.940               0.000
16/01/09                 0.930          0.980          0.930          0.980               0.000
20/01/09                 0.730          0.930          0.730          0.930               0.000
21/01/09                 0.930          0.930          0.920          0.930               0.000
23/01/09                 0.930          0.930          0.930          0.930               0.000
28/01/09                 0.930          0.930          0.930          0.930               0.000
30/01/09                 0.930          1.000          0.900          1.000               0.000
03/02/09                 0.840          1.000          0.830          0.880               0.000
04/02/09                 0.890          0.890          0.890          0.890               0.000
05/02/09                 0.900          0.900          0.900          0.900               0.000
12/02/09                 0.880          0.900          0.880          0.900               0.000
18/02/09                 0.900          0.950          0.880          0.950               0.000
19/02/09                 0.900          0.950          0.900          0.950               0.000
20/02/09                 0.880          0.950          0.880          0.950               0.000
24/02/09                 0.880          0.950          0.710          0.880               0.000
10/04/09                 0.500          0.880          0.430          0.880               0.000
16/04/09                 0.710          0.820          0.620          0.810               0.000
17/04/09                 0.750          0.750          0.680          0.740               0.000
20/04/09                 0.640          0.700          0.640          0.690               0.000
21/04/09                 0.670          0.670          0.650          0.660               0.000
22/04/09                 0.620          0.620          0.620          0.620               0.000
23/04/09                 0.660          0.660          0.500          0.500               0.000
24/04/09                 0.490          0.490          0.480          0.480               0.000
27/04/09                 0.480          0.550          0.460          0.490               0.000
28/04/09                 0.500          0.560          0.490          0.560               0.000
29/04/09                 0.530          0.530          0.490          0.530               0.000
30/04/09                 0.490          0.500          0.480          0.480               0.000
04/05/09                 0.480          0.480          0.450          0.450               0.000
06/05/09                 0.450          0.450          0.390          0.400               0.000
07/05/09                 0.390          0.390          0.370          0.390               0.000
22/06/11                 2.050          3.780          1.950          3.750               9.720
23/06/11                 3.850          4.530          3.530          3.530               9.140
24/06/11                 4.000          4.250          3.600          3.780               9.780
27/06/11                 4.050          4.480          3.800          4.430              11.470
28/06/11                 4.630          4.830          4.300          4.380              11.340
29/06/11                 4.430          4.580          4.280          4.350              11.270
30/06/11                 4.450          4.480          4.230          4.250              11.010
04/07/11                 4.200          4.230          3.530          3.800               9.850
05/07/11                 3.830          4.000          3.700          3.800               9.850
06/07/11                 3.850          4.380          3.850          4.380              11.340
07/07/11                 4.330          4.380          4.130          4.230              10.950
08/07/11                 4.250          4.250          4.000          4.050              10.500
11/07/11                 4.080          4.280          4.080          4.180              10.820
12/07/11                 4.280          4.330          4.080          4.080              10.560
13/07/11                 4.150          4.150          4.030          4.080              10.560
14/07/11                 4.100          4.130          3.980          4.000              10.370
18/07/11                 4.080          4.100          4.000          4.080              10.560
19/07/11                 4.080          4.180          4.030          4.050              10.500
20/07/11                 4.080          4.080          3.950          4.000              10.370
21/07/11                 4.000          4.030          3.950          3.950              10.240
22/07/11                 3.980          4.000          3.930          3.930              10.170
25/07/11                 3.950          3.980          3.830          3.900              10.110
26/07/11                 3.900          4.130          3.880          3.980              10.300
27/07/11                 4.000          4.230          3.900          4.180              10.820
28/07/11                 4.230          4.500          4.050          4.050              10.500
29/07/11                 4.100          4.180          4.000          4.000              10.370
01/08/11                 4.030          4.050          3.980          4.000              10.370
02/08/11                 4.030          4.080          4.000          4.000              10.370
03/08/11                 3.980          4.000          3.950          3.950              10.240
04/08/11                 4.000          4.030          3.900          3.900              10.110
05/08/11                 3.800          3.900          3.700          3.700               9.590
08/08/11                 3.730          4.030          3.700          3.780               9.780
