Timestamp             CMR.Open       CMR.High        CMR.Low      CMR.Close                .PE 
13/07/16                 5.950          5.950          5.750          5.800              53.920
14/07/16                 5.800          5.950          5.800          5.850              54.380
15/07/16                 5.800          6.050          5.800          5.850              54.380
20/07/16                 5.900          5.950          5.850          5.900              54.850
21/07/16                 5.900          5.950          5.850          5.850              54.380
22/07/16                 5.900          5.900          5.800          5.850              54.380
25/07/16                 6.050          6.050          5.850          5.900              54.850
26/07/16                 5.900          5.900          5.750          5.800              53.920
27/07/16                 5.850          5.900          5.700          5.700              52.990
28/07/16                 5.750          5.800          5.600          5.600              52.060
29/07/16                 5.750          5.750          5.650          5.650              52.520
01/08/16                 5.650          5.750          5.600          5.650              52.520
02/08/16                 5.600          5.650          5.450          5.450              50.660
03/08/16                 5.450          5.600          5.450          5.550              51.590
04/08/16                 5.600          5.650          5.500          5.550              51.590
05/08/16                 5.500          5.600          5.500          5.500              51.130
08/08/16                 5.550          5.650          5.500          5.600              52.060
09/08/16                 5.650          5.850          5.550          5.750              53.450
10/08/16                 5.700          5.750          5.600          5.600              52.060
11/08/16                 5.600          5.600          5.450          5.550              51.590
15/08/16                 5.300          5.450          5.200          5.250              52.500
16/08/16                 5.250          5.250          4.960          4.980              49.800
17/08/16                 4.980          5.150          4.980          5.050              50.500
18/08/16                 5.150          5.450          5.150          5.250              52.500
19/08/16                 5.250          5.350          5.200          5.200              52.000
22/08/16                 5.100          5.200          5.100          5.100              51.000
23/08/16                 5.100          5.150          5.000          5.050              50.500
24/08/16                 5.100          5.100          5.000          5.000              50.000
25/08/16                 5.000          5.050          5.000          5.000              50.000
26/08/16                 5.050          5.050          4.980          5.000              50.000
29/08/16                 5.000          5.050          4.960          4.960              49.600
30/08/16                 4.980          5.000          4.960          4.980              49.800
31/08/16                 4.980          4.980          4.960          4.960              49.600
01/09/16                 4.960          5.250          4.960          4.980              49.800
02/09/16                 5.000          5.000          4.940          4.940              49.400
05/09/16                 4.960          4.960          4.680          4.740              47.400
06/09/16                 4.760          4.820          4.760          4.780              47.800
07/09/16                 4.780          4.880          4.760          4.760              47.600
08/09/16                 4.800          4.800          4.500          4.580              45.800
09/09/16                 4.560          4.560          4.380          4.420              44.200
