Timestamp           BJCHI.Open     BJCHI.High      BJCHI.Low    BJCHI.Close                .PE 
30/06/16                 6.400          6.400          6.250          6.300               6.730
04/07/16                 6.300          6.300          6.200          6.250               6.680
05/07/16                 6.300          6.300          6.200          6.250               6.680
06/07/16                 6.250          6.300          6.200          6.250               6.680
07/07/16                 6.300          6.300          6.200          6.200               6.620
08/07/16                 6.200          6.250          6.200          6.200               6.620
11/07/16                 6.250          6.350          6.250          6.300               6.730
12/07/16                 6.350          6.350          6.200          6.250               6.680
13/07/16                 6.300          6.300          6.250          6.250               6.680
14/07/16                 6.300          6.350          6.250          6.250               6.680
15/07/16                 6.300          6.350          6.250          6.300               6.730
20/07/16                 6.350          6.900          6.350          6.750               7.210
21/07/16                 6.750          6.800          6.650          6.700               7.160
22/07/16                 6.750          6.850          6.650          6.700               7.160
25/07/16                 6.800          6.850          6.700          6.700               7.160
26/07/16                 6.700          6.750          6.600          6.600               7.050
27/07/16                 6.650          6.650          6.500          6.500               6.940
28/07/16                 6.500          6.600          6.500          6.600               7.050
29/07/16                 6.650          6.650          6.550          6.550               7.000
01/08/16                 6.550          6.600          6.500          6.500               6.940
02/08/16                 6.500          6.500          6.300          6.300               6.730
03/08/16                 6.300          6.450          6.200          6.250               6.680
04/08/16                 6.350          6.350          6.250          6.250               6.680
05/08/16                 6.250          6.300          6.200          6.250               6.680
08/08/16                 6.300          6.400          6.250          6.300               6.730
09/08/16                 6.300          6.450          6.250          6.350               6.780
10/08/16                 6.350          6.400          6.250          6.300               6.730
11/08/16                 6.350          6.350          6.150          6.150               6.570
15/08/16                 6.050          6.300          6.050          6.250               6.680
16/08/16                 6.300          6.350          6.150          6.200               6.570
17/08/16                 6.200          6.300          6.150          6.200               6.570
18/08/16                 6.250          6.300          6.150          6.200               6.570
19/08/16                 6.250          6.300          6.200          6.250               6.620
22/08/16                 6.250          6.350          6.200          6.250               6.620
23/08/16                 6.250          6.300          6.150          6.200               6.570
24/08/16                 6.200          6.250          6.150          6.200               6.570
25/08/16                 6.200          6.250          6.200          6.200               6.570
26/08/16                 6.200          6.250          6.200          6.200               6.570
29/08/16                 6.250          6.250          6.150          6.200               6.570
30/08/16                 6.200          6.250          6.150          6.200               6.570
31/08/16                 6.200          6.250          6.150          6.250               6.620
01/09/16                 6.200          6.250          6.150          6.150               6.520
02/09/16                 6.200          6.200          6.100          6.100               6.460
05/09/16                 6.150          6.150          5.950          5.950               6.310
06/09/16                 5.950          6.050          5.950          6.000               6.360
07/09/16                 6.000          6.050          5.950          5.950               6.310
08/09/16                 6.000          6.000          5.700          5.700               6.040
09/09/16                 5.700          5.850          5.600          5.700               6.040
12/09/16                 5.650          5.700          5.500          5.500               5.830
13/09/16                 5.600          5.700          5.600          5.700               6.040
14/09/16                 5.700          5.700          5.650          5.700               6.040
15/09/16                 5.750          5.900          5.750          5.900               6.250
16/09/16                 5.900          5.900          5.800          5.900               6.250
19/09/16                 5.950          6.000          5.900          6.000               6.360
20/09/16                 6.000          6.050          5.850          5.850               6.200
21/09/16                 5.850          6.000          5.850          5.900               6.250
22/09/16                 5.950          6.000          5.900          5.950               6.310
23/09/16                 5.950          6.000          5.850          5.900               6.250
26/09/16                 5.850          5.950          5.850          5.900               6.250
27/09/16                 5.850          5.950          5.850          5.900               6.250
28/09/16                 5.850          5.950          5.850          5.850               6.200
29/09/16                 5.950          5.950          5.850          5.850               6.200
30/09/16                 5.900          5.900          5.800          5.800               6.150
03/10/16                 5.850          5.850          5.800          5.850               6.200
04/10/16                 5.850          5.950          5.800          5.900               6.250
05/10/16                 5.900          5.950          5.850          5.900               6.250
06/10/16                 5.900          6.100          5.850          6.000               6.360
07/10/16                 6.000          6.000          5.900          5.900               6.250
10/10/16                 5.750          5.800          5.650          5.650               5.990
11/10/16                 5.750          5.850          5.650          5.650               5.990
12/10/16                 5.650          5.700          4.960          5.450               5.780
13/10/16                 5.300          5.400          5.150          5.400               5.720
14/10/16                 5.600          5.900          5.600          5.900               6.250
17/10/16                 5.850          5.900          5.750          5.800               6.150
18/10/16                 5.900          5.900          5.750          5.850               6.200
19/10/16                 5.850          6.050          5.800          5.950               6.310
20/10/16                 5.950          6.000          5.750          5.850               6.200
21/10/16                 5.800          6.250          5.800          6.250               6.620
25/10/16                 6.300          6.350          6.100          6.150               6.520
26/10/16                 6.150          6.150          6.050          6.050               6.410
27/10/16                 6.100          6.250          6.050          6.200               6.570
28/10/16                 6.200          6.200          6.100          6.100               6.460
31/10/16                 6.150          6.200          6.100          6.150               6.520
01/11/16                 6.150          6.250          6.100          6.250               6.620
02/11/16                 6.200          6.250          6.150          6.150               6.520
03/11/16                 6.150          6.250          6.100          6.150               6.520
04/11/16                 6.100          6.200          6.100          6.200               6.570
07/11/16                 6.150          6.200          6.150          6.200               6.570
08/11/16                 6.200          6.200          6.100          6.150               6.520
09/11/16                 6.100          6.150          6.050          6.100               6.460
10/11/16                 6.150          6.200          6.100          6.150               6.520
11/11/16                 6.150          6.200          6.050          6.050               6.410
14/11/16                 6.050          6.050          5.850          5.850               6.200
15/11/16                 5.350          5.350          5.150          5.200               9.430
16/11/16                 5.150          5.300          5.150          5.200               9.330
17/11/16                 5.200          5.200          5.100          5.100               9.150
18/11/16                 5.100          5.100          4.980          5.050               9.060
21/11/16                 5.050          5.150          5.050          5.100               9.150
22/11/16                 5.150          5.150          5.050          5.100               9.150
23/11/16                 5.100          5.150          5.050          5.100               9.150
24/11/16                 5.100          5.150          5.050          5.100               9.150
25/11/16                 5.100          5.150          5.050          5.150               9.240
28/11/16                 5.050          5.100          5.050          5.100               9.150
29/11/16                 5.100          5.150          5.050          5.050               9.060
30/11/16                 5.100          5.100          4.960          5.050               9.060
01/12/16                 5.050          5.050          4.980          5.000               8.970
02/12/16                 5.000          5.000          4.900          4.900               8.790
06/12/16                 4.920          4.940          4.880          4.900               8.790
07/12/16                 4.920          4.980          4.880          4.900               8.790
08/12/16                 4.900          4.940          4.900          4.900               8.790
09/12/16                 4.920          4.940          4.900          4.900               8.790
13/12/16                 4.920          4.940          4.900          4.920               8.820
14/12/16                 4.920          5.050          4.920          4.980               8.930
15/12/16                 4.980          5.150          4.980          5.150               9.240
16/12/16                 5.150          5.300          5.050          5.050               9.060
19/12/16                 5.100          5.150          5.050          5.050               9.060
20/12/16                 5.100          5.100          4.940          4.940               8.860
21/12/16                 4.960          4.960          4.920          4.940               8.860
22/12/16                 4.940          4.960          4.920          4.920               8.820
23/12/16                 4.940          4.960          4.900          4.940               8.860
26/12/16                 4.940          5.150          4.940          5.000               8.970
27/12/16                 5.000          5.200          5.000          5.100               9.150
28/12/16                 5.200          5.200          5.100          5.100               9.150
29/12/16                 5.150          5.150          5.050          5.100               9.150
30/12/16                 5.100          5.100          5.050          5.100               9.150
04/01/17                 5.050          5.100          5.050          5.050               9.060
05/01/17                 5.100          5.200          5.050          5.150               9.240
06/01/17                 5.250          5.350          5.250          5.300               9.510
09/01/17                 5.400          5.500          5.250          5.250               9.420
10/01/17                 5.250          5.350          5.200          5.250               9.420
11/01/17                 5.250          5.400          5.250          5.300               9.510
12/01/17                 5.350          5.350          5.250          5.250               9.420
13/01/17                 5.250          5.350          5.250          5.300               9.510
16/01/17                 5.350          5.350          5.250          5.300               9.510
17/01/17                 5.300          5.450          5.300          5.350               9.600
18/01/17                 5.400          5.400          5.300          5.300               9.510
19/01/17                 5.250          5.350          5.250          5.250               9.420
20/01/17                 5.250          5.300          5.250          5.300               9.510
23/01/17                 5.300          5.300          5.250          5.250               9.420
24/01/17                 5.250          5.350          5.250          5.300               9.510
25/01/17                 5.350          5.350          5.250          5.250               9.420
26/01/17                 5.300          5.300          5.250          5.250               9.420
27/01/17                 5.300          5.300          5.200          5.200               9.330
30/01/17                 5.200          5.300          5.200          5.250               9.420
31/01/17                 5.250          5.250          5.150          5.150               9.240
01/02/17                 5.150          5.250          5.150          5.150               9.240
02/02/17                 5.150          5.200          5.100          5.100               9.150
03/02/17                 5.050          5.150          5.050          5.150               9.240
06/02/17                 5.150          5.200          5.100          5.150               9.240
07/02/17                 5.150          5.200          5.100          5.100               9.150
08/02/17                 5.100          5.150          5.100          5.100               9.150
