Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
16/02/15                29.000         30.000         29.000         29.500              23.620
17/02/15                30.000         31.500         29.750         30.750              24.620
18/02/15                31.000         31.000         30.250         30.250              24.220
19/02/15                31.000         31.000         30.500         30.500              24.420
20/02/15                30.750         31.000         30.750         30.750              24.620
23/02/15                30.750         31.000         30.750         30.750              24.620
24/02/15                31.000         31.000         30.000         30.000              24.020
25/02/15                30.000         30.500         30.000         30.500              25.160
26/02/15                30.250         30.750         30.000         30.500              25.160
27/02/15                30.000         30.750         30.000         30.750              25.370
02/03/15                30.250         30.750         29.750         30.500              25.160
03/03/15                30.500         31.000         30.000         30.250              24.960
05/03/15                30.500         31.000         29.750         30.250              24.960
06/03/15                30.250         30.750         30.250         30.750              25.370
09/03/15                30.500         30.750         30.250         30.750              25.370
10/03/15                30.750         30.750         30.000         30.500              25.160
11/03/15                30.500         31.000         29.750         31.000              25.580
12/03/15                30.250         30.500         30.250         30.500              25.160
13/03/15                30.500         30.500         29.750         30.000              24.750
16/03/15                28.750         30.000         28.750         30.000              24.750
18/03/15                30.000         30.000         30.000         30.000              24.750
19/03/15                29.250         29.750         29.000         29.750              24.550
20/03/15                29.500         30.000         29.250         30.000              24.750
23/03/15                29.750         30.000         29.750         29.750              24.550
24/03/15                29.500         29.500         28.750         28.750              23.720
25/03/15                29.000         30.000         28.500         29.750              24.550
26/03/15                29.000         29.750         29.000         29.000              23.930
27/03/15                29.000         29.000         29.000         29.000              23.930
30/03/15                29.250         29.250         29.250         29.250              24.130
31/03/15                29.000         29.250         29.000         29.000              23.930
01/04/15                29.250         29.250         29.000         29.250              24.130
02/04/15                29.250         29.500         29.000         29.500              24.340
03/04/15                29.750         30.250         29.750         30.250              24.960
07/04/15                30.250         30.500         30.000         30.500              25.160
08/04/15                30.500         32.500         30.500         32.000              26.400
09/04/15                32.750         33.250         32.750         33.000              27.230
10/04/15                33.750         34.250         33.250         33.750              27.850
16/04/15                34.000         35.000         34.000         35.000              28.880
17/04/15                35.000         35.250         34.500         35.000              28.880
20/04/15                35.000         35.250         34.500         34.500              28.460
21/04/15                35.000         35.000         33.750         33.750              27.850
22/04/15                34.000         35.250         34.000         34.500              28.460
23/04/15                34.000         34.750         34.000         34.500              28.460
24/04/15                34.500         35.000         34.250         35.000              28.880
27/04/15                35.000         35.250         34.500         34.750              28.670
28/04/15                35.000         35.000         34.500         35.000              28.880
29/04/15                34.750         35.000         34.500         35.000              28.880
30/04/15                34.500         35.500         34.500         35.500              29.290
06/05/15                35.500         35.500         35.000         35.500              29.290
07/05/15                35.250         35.500         34.750         35.000              28.880
08/05/15                35.000         37.250         35.000         35.750              29.500
11/05/15                36.250         36.250         34.750         35.500              29.290
12/05/15                35.250         35.750         35.000         35.500              29.290
13/05/15                35.250         36.000         35.250         36.000              29.700
14/05/15                36.000         36.000         35.250         35.250              29.080
15/05/15                35.000         36.000         35.000         35.750              28.050
18/05/15                36.000         36.000         35.000         35.750              28.050
19/05/15                35.500         36.000         35.250         35.750              28.050
20/05/15                35.500         35.500         35.500         35.500              27.850
21/05/15                35.250         35.750         35.000         35.000              27.460
22/05/15                35.000         35.500         35.000         35.250              27.660
25/05/15                35.500         35.750         34.750         34.750              27.270
26/05/15                34.250         35.250         33.750         33.750              26.480
27/05/15                33.000         35.250         32.250         34.750              27.270
28/05/15                34.750         35.000         34.500         34.750              27.270
29/05/15                34.750         35.000         34.000         34.000              26.680
02/06/15                34.250         34.500         34.000         34.000              26.680
03/06/15                34.500         34.750         33.500         34.750              27.270
04/06/15                34.500         34.500         34.000         34.500              27.070
05/06/15                34.000         34.000         33.000         33.500              26.280
08/06/15                33.250         34.000         33.250         33.500              26.280
09/06/15                33.250         35.750         33.250         34.750              27.270
10/06/15                34.750         34.750         34.500         34.750              27.270
11/06/15                34.750         34.750         34.750         34.750              27.270
12/06/15                34.500         34.500         34.250         34.250              26.870
15/06/15                34.250         34.500         33.750         33.750              26.480
16/06/15                33.750         34.500         33.500         34.000              26.680
17/06/15                34.500         35.000         34.250         34.750              27.270
18/06/15                35.000         35.000         34.750         35.000              27.460
19/06/15                35.000         35.250         34.500         35.000              27.460
22/06/15                34.500         35.000         34.500         35.000              27.460
23/06/15                34.750         34.750         34.750         34.750              27.270
24/06/15                34.500         35.000         34.500         34.750              27.270
25/06/15                35.000         35.000         34.750         35.000              27.460
26/06/15                35.000         35.000         34.750         34.750              27.270
29/06/15                34.500         34.500         34.500         34.500              27.070
30/06/15                34.750         34.750         34.250         34.250              26.870
02/07/15                34.500         34.500         34.250         34.250              26.870
03/07/15                34.750         34.750         34.750         34.750              27.270
06/07/15                34.500         34.500         34.250         34.500              27.070
07/07/15                34.500         34.500         34.250         34.250              26.870
08/07/15                34.750         35.000         34.750         34.750              27.270
09/07/15                34.250         34.500         34.250         34.250              26.870
10/07/15                34.250         34.500         34.000         34.250              26.870
13/07/15                34.250         34.750         34.000         34.250              26.870
14/07/15                34.750         34.750         34.250         34.250              26.870
15/07/15                34.500         34.500         34.500         34.500              27.070
16/07/15                34.250         34.500         34.250         34.500              27.070
17/07/15                34.500         34.500         34.250         34.250              26.870
20/07/15                34.000         34.500         34.000         34.500              27.070
21/07/15                34.000         34.250         34.000         34.000              26.680
22/07/15                34.250         34.750         33.750         34.750              27.270
23/07/15                34.500         36.500         34.250         35.500              27.850
24/07/15                35.500         35.500         34.500         35.000              27.460
27/07/15                34.500         35.000         34.500         34.500              27.070
28/07/15                34.500         34.750         34.250         34.250              26.870
29/07/15                34.500         34.500         34.250         34.250              26.870
31/07/15                34.250         34.750         34.250         34.750              27.270
03/08/15                34.500         34.750         34.500         34.750              27.270
04/08/15                34.500         34.500         34.500         34.500              27.070
05/08/15                34.500         34.750         34.250         34.750              27.270
06/08/15                34.750         34.750         34.500         34.500              27.070
07/08/15                34.500         34.500         34.500         34.500              27.070
10/08/15                34.500         34.750         34.500         34.750              27.270
11/08/15                34.750         35.000         34.500         35.000              27.460
13/08/15                34.750         35.000         34.250         34.750              27.270
14/08/15                34.750         35.500         34.750         34.750              27.100
17/08/15                35.000         35.000         34.750         35.000              27.290
18/08/15                34.750         35.000         34.500         34.750              27.100
19/08/15                35.000         35.000         34.750         34.750              27.100
20/08/15                35.000         35.000         35.000         35.000              27.290
21/08/15                34.750         35.000         34.750         35.000              27.290
24/08/15                34.500         35.000         33.750         35.000              27.290
25/08/15                34.500         36.000         34.250         35.250              27.490
26/08/15                35.000         35.500         34.500         35.250              27.490
27/08/15                35.250         35.500         35.000         35.500              27.680
28/08/15                35.500         35.750         35.250         35.500              27.680
31/08/15                35.500         35.500         35.250         35.500              27.680
01/09/15                35.500         36.250         35.500         35.500              27.680
02/09/15                35.250         35.750         35.250         35.750              27.880
03/09/15                35.750         35.750         35.500         35.750              27.880
04/09/15                35.750         36.000         35.500         35.500              27.680
07/09/15                35.500         35.500         35.500         35.500              27.680
08/09/15                35.750         35.750         35.500         35.500              27.680
09/09/15                35.500         35.750         35.500         35.500              27.680
10/09/15                35.500         35.750         35.250         35.750              27.880
11/09/15                35.500         35.750         35.250         35.750              27.880
14/09/15                35.750         35.750         35.250         35.500              27.680
15/09/15                35.750         36.250         35.500         35.500              27.680
16/09/15                35.500         35.750         35.500         35.750              27.880
17/09/15                35.500         35.750         35.250         35.750              27.880
18/09/15                35.500         35.500         35.000         35.250              27.490
21/09/15                35.250         35.750         35.000         35.750              27.880
22/09/15                35.500         35.500         35.250         35.500              27.680
23/09/15                35.500         35.500         35.500         35.500              27.680
24/09/15                35.250         35.500         35.250         35.500              27.680
25/09/15                35.250         35.750         35.000         35.750              27.880
28/09/15                35.250         35.750         35.250         35.750              27.880
29/09/15                35.500         35.750         35.250         35.500              27.680
30/09/15                35.250         35.250         35.250         35.250              27.490
01/10/15                35.500         35.500         35.500         35.500              27.680
02/10/15                35.500         35.750         35.250         35.500              27.680
05/10/15                35.500         35.500         35.250         35.500              27.680
06/10/15                35.500         35.500         35.250         35.250              27.490
07/10/15                35.500         35.500         35.500         35.500              27.680
08/10/15                35.500         35.500         35.000         35.000              27.290
09/10/15                35.250         36.000         35.250         35.500              27.680
12/10/15                35.750         35.750         35.500         35.750              27.880
13/10/15                35.500         35.750         35.250         35.250              27.490
14/10/15                35.750         35.750         35.250         35.500              27.680
15/10/15                35.500         35.500         35.250         35.250              27.490
16/10/15                35.250         35.250         35.250         35.250              27.490
19/10/15                35.250         35.250         35.250         35.250              27.490
20/10/15                35.500         35.500         35.250         35.250              27.490
21/10/15                35.250         35.500         35.250         35.500              27.680
22/10/15                35.500         35.750         35.250         35.500              27.680
26/10/15                35.500         35.500         35.250         35.500              27.680
27/10/15                35.000         35.500         35.000         35.250              27.490
28/10/15                35.250         35.500         35.250         35.250              27.490
29/10/15                35.000         35.500         35.000         35.500              27.680
30/10/15                35.250         35.500         35.250         35.500              27.680
02/11/15                35.500         35.500         35.500         35.500              27.680
03/11/15                35.250         35.500         35.250         35.500              27.680
04/11/15                35.250         35.750         35.250         35.750              27.880
05/11/15                35.750         35.750         35.500         35.500              27.680
06/11/15                35.750         35.750         35.500         35.750              27.880
09/11/15                35.500         35.750         35.500         35.500              27.680
10/11/15                35.750         35.750         35.500         35.750              27.880
11/11/15                35.500         35.750         35.500         35.500              27.680
